GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1992,1992,1992,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,0.0,0.00,,
RS_194,Number of registered vehicles,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,1252740.0, 1 252 740,,
overwgt5,Overweight prevalence in children aged <five years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,4.19863,4.2 [2.9-6.1],2.894,6.05473
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),,No data,,
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,42.2,42.2 [35.5-48.6],35.5,48.6
RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RSUD_HIVHEP_CT,RSUD_HIVHEP_CT_CT_HEPTREATMENT,HEPATITIS treatment,,None,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,40.70155,40.7 [32.7-49.1],32.67645,49.06223
WSH_10,"Number of diarrhoea deaths from inadequate water, sanitation and hygiene",,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,2777.0,2777 [2095-3581],2095.0,3581.0
MENING_1,Number of suspected meningitis deaths reported,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,98.0,98,,
SE_PRM_PRSL_ZS,Persistence to last grade of primary (% of cohort),,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,87.65051,87.7,,
NUT_CF_MMF,Minimum Meal Frequency 6-23 months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM60,Wealth - Bottom 60%,29.2,29.2 [27.0-31.4],27.0,31.4
NCD_HYP_CONTROL_C,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, crude",,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,3.2,3.2 [0.7-8.2],0.7,8.2
TB_new_su,New cases: pulmonary smear unknown/not done,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,240.0,240,,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),,1992,1992,1992,EMR,Eastern Mediterranean,SDN,Sudan,,,,1125.18254,1 125 [785-1 519],784.72291,1519.31441
wast5,Wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201409,sinnar,,No data,,
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,15.1,15.1 [7.0-26.7],7.0,26.7
E23_vending_machines,Ban on tobacco vending machines,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201404,kassala,5.64331,5.6 [3.2-9.8],3.18859,9.79655
vmsl,Measles immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,88.96648,89.0 [84.6-92.2],84.59287,92.21284
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,1997,1997,1997,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,1.8,1.8 [0.5-4.6],0.5,4.6
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,Decile 10 (richest),,No data,,
NUTRITION_564,Children aged <5 years wasted for age (%),,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,16.2,16.2,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on relevant constituents and emissions,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1980,1980,1980,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,,No data,,
PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,85.0,85,,
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,23.3,23.3 [12.1-37.2],12.1,37.2
SA_0000001760_ARCHIVED,15-19 years old total alcohol consumption in litres of pure alcohol,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,25.0,25.0 [13.2-36.3],13.2,36.3
TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.8,0.8,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,6497.0,6497 [5420-7898],5420.0,7898.0
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,4.30537,4.31 [1.15-7.96],1.15244,7.96494
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,,No data,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1997,1997,1997,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,16.84082,16.84 [12.37-22.54],12.37277,22.53749
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1977,1977,1977,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,1.43,1.43,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,696.2904,696.3 [370.6-1179.2],370.6052,1179.176
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,6.40307,6.4 [1.85-12.95],1.85025,12.94565
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,37.587,37.6 [23.7-52.3],23.74834,52.31712
vbcg,BCG immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201414,north darfur,81.55028,81.6 [72.1-88.3],72.14423,88.29547
vbcg,BCG immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,Decile 3,69.50108,69.5 [62.9-75.4],62.86989,75.41117
vpolio,Polio immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),89.20525,89.2 [83.3-93.2],83.32772,93.18033
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,34.27705,34.3 [20.9-55.7],20.9302,55.65119
W8_princ_langs_C,Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
E17b_csr_promo_self,Ban on tobacco companies/the tobacco industry publicizing their CSR activities,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
cpmowho,Contraceptive prevalence - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS20-49,20-49 years,12.45303,12.5 [11.3-13.6],11.34898,13.64795
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,93.60102,93.6 [91.0-95.5],90.95858,95.50931
NTD_LEPR5,Number of new G2D leprosy cases,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,82.0,82,,
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,69.3823,69.4 [60.0-77.4],59.9622,77.42064
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201411,north kordofan,62.78623,62.8 [53.0-71.6],52.97762,71.64395
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,21.8,21.8 [19.0-24.6],19.0,24.6
E18_csr_anti_tobacco_media,"Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth",,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
NTD_RAB2,Reported number of human rabies deaths,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
E5_compliance,Compliance of ban on advertising on billboards and outdoor advertising,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,10.0,10,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1982,1982,1982,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
TOB_R_PRICE,Retail price for tobacco and nicotine products,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),8.0,8,,
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,139.752,139.8 [115.3-168.4],115.32928,168.36232
R_Ad_val,Taxes as a % of price: ad valorem excise,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_DISPOSABLE_CHEAPEST,Cheapest brand of e-liquid of a closed disposable ENDS/ENNDS system (1ml),,,,
NCD_HYP_TREATMENT_A,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,22.1,22.1 [14.9-30.5],14.9,30.5
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,38.1,38.1 [27.9-49.2],27.9,49.2
MDG_0000000031,Smear-positive tuberculosis treatment-success rate (%),,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,,,,96.0,96,,
uwgt5,Underweight prevalence in children aged < 5 years (%) (Health inequality monitor),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,,No data,,
R_tax_other,Taxes as a % of price: other taxes,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_OTHERSMOKED_MOSTSOLD,Most sold brand of other smoked tobacco,,,,
vfull,Full immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,50.05531,50.1 [44.1-56.0],44.0995,56.00954
WHS3_45,Number of new leprosy cases,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,684.0,684,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1976,1976,1976,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
u5mr,Under-five mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,72.01657,72.0 [62.2-81.9],62.18115,81.85201
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,,,,
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1986,1986,1986,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
NCD_CCS_MORT_TARGET,Existence of a national target on NCD mortality,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,14.9,14.9 [7.2-25.6],7.2,25.6
E14b_movies_anti_tob_ads,"Requirement to present prescribed anti-tobacco ads before, during or after the broadcasting or showing of any visual entertainment media product that depicts tobacco products, use or images",,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,9682.0,9682 [7776-12 208],7776.0,12208.0
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,7.62807,7.6 [4.9-11.7],4.93303,11.66896
u5mr,Under-five mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,105.21031,105.2 [90.1-120.3],90.10825,120.31238
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_SEVERE,Severe,0.9,0.9 [0.1-2.9],0.1,2.9
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,85.23799,85.2 [79.1-89.8],79.07384,89.82013
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,17.45762,17.5 [15.0-20.2],15.00257,20.21884
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201005,gadarif,,No data,,
csection5,Births by caesarean section (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,,No data,,
SA_0000001749,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",,2010,2008,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,4.8,4.8 [4.1-5.5],4.1,5.5
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,4.63652,4.6 [2.5-8.2],2.48748,8.20515
MALARIA_ITN_COVERAGE,"Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled",,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,64.12903,64.13,,
E15a_sponsorship,Complete ban on sponsorship,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,39.65603,39.7 [32.0-47.5],31.97559,47.48138
CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,4.30604,4.31 [0.11-8.9],0.10924,8.89736
R_Total_tax,Taxes as a % of price: total tax,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),73.36,73.36,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1998,1998,1998,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
IHRSPAR2_C06,Human resources,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,30.0,30,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,1.24,1.24,,
u5mr,Under-five mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,94.10439,94.1 [88.1-100.1],88.12862,100.08017
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,322.91,323 [237-434],236.98729,434.31971
csection5,Births by caesarean section (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,,No data,,
MALARIA_ITN_COVERAGE,"Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,4.41843,4.42,,
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,Decile 5,82.04733,82.0 [76.9-86.2],76.91387,86.24346
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1980,1980,1980,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
nmr,Neonatal mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201014,west darfur,35.91134,35.9 [27.8-44.1],27.76152,44.06116
TB_notif_num,Number of people notified with new episode of TB in a given year,,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,New and relapse,24554.0,24 554,,
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,38.4,38.4 [29.0-48.3],29.0,48.3
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,63.51159,63.5 [51.6-78.0],51.55232,78.01698
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_SEVERE,Severe,1.4,1.4 [0.2-3.8],0.2,3.8
NCD_HYP_CONTROL_C,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, crude",,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,1.7,1.7 [0.4-4.5],0.4,4.5
BP_06,Mean systolic blood pressure (age-standardized estimate),,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1975,1975,1975,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,1.55,1.55,,
fps,Demand for family planning satisfied - modern and traditional methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,39.41674,39.4 [33.9-45.2],33.8707,45.24952
UNICEF_ORS,Children aged <5 years with diarrhoea receiving ORS (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,22.0,22,,
vfull,Full immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,79.22763,79.2 [67.7-87.4],67.67805,87.41748
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,39.6613,39.7 [36.8-42.6],36.75951,42.63771
O_Ins_off_hlth_prof,Treatment for tobacco dependence in offices of health professionals cost covered,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1978,1978,1978,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
AIR_43,Ambient air pollution attributable DALYs,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,422022.0,422 022 [228 768 - 650 658],228768.0,650658.0
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1998,1998,1998,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,5.71216,5.71 [1.78-11.06],1.77837,11.06459
RS_246,Distribution of road traffic deaths by type of road user (%),,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,ROADUSERTYPE,ROADUSERTYPE_RS-DDC-OTHER,Other/unspecified road users,71.4,71.4,,
